goalie_id,adj_rebound_pct,regressed_adjrp_c5000,regressed_adjrp_c10000,league_mean_adjrp,regressed_gsax,rebound_control_z,rebound_control_score,primary_gsax_score,rebound_control_score_c5000,rebound_control_score_c10000,total_gar_w30_raw,total_gar_w30_c5000,total_gar_w30_c10000,total_gar_w10_c5000,total_gar_w10_c10000,total_gar_w5_c5000,total_gar_w5_c10000
8476434,0.0,,,,-2.5191,-0.14765468190429082,0.14765468190429082,-2.5191,0.0,0.0,-1.7190735954287126,-1.7633699999999999,-1.7633699999999999,-2.26719,-2.26719,-2.3931449999999996,-2.3931449999999996
8476883,0.0,,,,6.9916,-0.14765468190429082,0.14765468190429082,6.9916,0.0,0.0,4.938416404571287,4.89412,4.89412,6.29244,6.29244,6.64202,6.64202
8476899,0.0,,,,0.0749,-0.14765468190429082,0.14765468190429082,0.0749,0.0,0.0,0.09672640457128723,0.05242999999999999,0.05242999999999999,0.06741,0.06741,0.071155,0.071155
8476914,0.0,,,,-2.274,-0.14765468190429082,0.14765468190429082,-2.274,0.0,0.0,-1.5475035954287126,-1.5917999999999999,-1.5917999999999999,-2.0466,-2.0466,-2.1603,-2.1603
8476932,0.0,,,,-3.9384,-0.14765468190429082,0.14765468190429082,-3.9384,0.0,0.0,-2.7125835954287125,-2.7568799999999998,-2.7568799999999998,-3.54456,-3.54456,-3.74148,-3.74148
8476945,0.0,,,,6.7182,-0.14765468190429082,0.14765468190429082,6.7182,0.0,0.0,4.747036404571287,4.70274,4.70274,6.04638,6.04638,6.38229,6.38229
8476999,0.0,,,,-9.4457,-0.14765468190429082,0.14765468190429082,-9.4457,0.0,0.0,-6.567693595428713,-6.61199,-6.61199,-8.50113,-8.50113,-8.973415,-8.973415
8477424,0.0,,,,0.2357,-0.14765468190429082,0.14765468190429082,0.2357,0.0,0.0,0.20928640457128725,0.16499,0.16499,0.21212999999999999,0.21212999999999999,0.22391499999999998,0.22391499999999998
8477465,0.0,,,,2.1983,-0.14765468190429082,0.14765468190429082,2.1983,0.0,0.0,1.5831064045712873,1.53881,1.53881,1.9784700000000002,1.9784700000000002,2.088385,2.088385
8477480,0.0,,,,-3.5134,-0.14765468190429082,0.14765468190429082,-3.5134,0.0,0.0,-2.4150835954287126,-2.45938,-2.45938,-3.16206,-3.16206,-3.3377299999999996,-3.3377299999999996
8477967,0.0,,,,3.5858,-0.14765468190429082,0.14765468190429082,3.5858,0.0,0.0,2.554356404571287,2.5100599999999997,2.5100599999999997,3.22722,3.22722,3.40651,3.40651
8477968,0.0,,,,-1.7093,-0.14765468190429082,0.14765468190429082,-1.7093,0.0,0.0,-1.1522135954287127,-1.19651,-1.19651,-1.53837,-1.53837,-1.623835,-1.623835
8477970,0.0,,,,-1.5268,-0.14765468190429082,0.14765468190429082,-1.5268,0.0,0.0,-1.0244635954287127,-1.06876,-1.06876,-1.37412,-1.37412,-1.4504599999999999,-1.4504599999999999
