our_game_id,our_player_id,our_shot_x,our_shot_y,our_distance,our_angle,our_xg,our_is_goal,our_is_rebound,our_is_slot_shot,our_has_pass,mp_shotID,mp_game_id,mp_xCord,mp_yCord,mp_shotDistance,mp_shotAngle,mp_xGoal,mp_goal,mp_shotRebound,mp_shotRush,mp_lastEventCategory,match_distance,xg_difference,xg_ratio
2025020399,8480839,41.0,27.0,55.072679252057455,29.35775354279128,0.0189968422055244,False,False,0,False,33767,20399,41,27,55.0726792521,29.3577535428,0.0159618,0,0,0,MISS,0.0,0.003035042205524398,1.1901441069004999
2025020399,8477949,82.0,-8.0,10.63014581273465,48.81407483429036,0.0941628739237785,False,False,0,False,33773,20399,82,-8,10.6301458127,-48.8140748343,0.0771388,0,0,0,HIT,0.0,0.017024073923778513,1.2206940466247662
2025020399,8479420,32.0,-35.0,66.88796603276258,31.551384948313483,0.006178883370012,False,False,0,False,33780,20399,32,-35,66.8879660328,-31.5513849483,0.0078701,0,0,0,GIVE,0.0,-0.0016912166299879999,0.785108622509498
2025020400,8475200,48.0,13.0,43.01162633521314,17.5924245621816,0.078768789768219,False,False,0,False,33837,20400,48,13,43.0116263352,17.5924245622,0.0346838,0,0,0,SHOT,0.0,0.04408498976821899,2.271054203063649
2025020400,8480848,66.0,-17.0,28.600699292150185,36.46923439005187,0.0685035362839698,False,False,0,False,33839,20400,66,-17,28.6006992922,-36.4692343901,0.0690928,0,0,0,HIT,0.0,-0.0005892637160302,0.9914714164713226
2025020400,8471817,46.0,22.0,48.30113870293329,27.0955524937518,0.023162605240941,False,False,0,False,33840,20400,46,22,48.3011387029,27.0955524938,0.024714,0,0,0,GIVE,0.0,-0.0015513947590590008,0.9372260759464676
2025020400,8484227,64.0,18.0,30.80584360149873,35.75388725443675,0.0598417893052101,True,False,0,False,33843,20400,64,18,30.8058436015,35.7538872544,0.0521938,1,0,0,MISS,0.0,0.007647989305210101,1.1465306090993586
2025020400,8484911,59.0,-39.0,49.20365840057018,52.43140797117251,0.0213439092040061,False,False,0,False,33847,20400,59,-39,49.2036584006,-52.4314079712,0.0205727,0,0,0,BLOCK,0.0,0.0007712092040061021,1.037487019399792
2025020400,8478874,54.0,-40.0,53.150729063673246,48.81407483429036,0.0078542176634073,False,False,0,False,33848,20400,54,-40,53.1507290637,-48.8140748343,0.0071757,0,0,0,FAC,0.0,0.0006785176634072996,1.0945576965881099
2025020400,8475181,40.0,23.0,54.12947441089743,25.144785630678943,0.0091253612190485,False,False,0,False,33853,20400,40,23,54.1294744109,25.1447856307,0.00997386,0,0,0,FAC,0.0,-0.0008484987809514993,0.9149277430251177
2025020400,8479983,75.0,26.0,29.5296461204668,61.69924423399363,0.0262403469532728,False,False,0,False,33854,20400,75,26,29.5296461205,61.699244234,0.0230348,0,0,0,HIT,0.0,0.0032055469532727976,1.1391610499449876
2025020400,8484227,53.0,-28.0,45.60701700396552,37.874983651098205,0.0142405480146408,False,False,0,False,33855,20400,53,-28,45.607017004,-37.8749836511,0.0103852,0,0,0,BLOCK,0.0,0.0038553480146407988,1.3712348355968877
2025020400,8480043,40.0,-31.0,57.982756057296896,32.31961650818018,0.0103338826447725,False,False,0,False,33858,20400,40,-31,57.9827560573,-32.3196165082,0.00985487,0,0,0,FAC,0.0,0.00047901264477250016,1.0486066934188376
2025020400,8475906,39.0,0.0,50.0,0.0,0.0281462911516428,False,False,0,False,33859,20400,39,0,50.0,0.0,0.0312306,0,0,0,FAC,0.0,-0.0030843088483572013,0.9012408071456456
2025020400,8479983,33.0,33.0,65.0,30.510237406115557,0.0275196619331836,False,False,0,False,33860,20400,33,33,65.0,30.5102374061,0.0167744,0,0,0,HIT,0.0,0.010745261933183602,1.6405750389393126
